,Cumulative Return,CAGR,Annual Mean Return,Volatility,Sharpe,Sortino,Max Drawdown,Calmar,Final Wealth,Turnover,Transaction Costs Paid,Observations,Backtest Start,Backtest End
"Dynamic HMM + Markowitz + Kelly, gross",1.7075241612601237,0.1087685552454194,0.11156527074091416,0.128642941613026,0.7117784278934938,0.8558498085789666,-0.1810747343209509,0.6006832242682161,2.7075241612601237,25.221557977646206,0.0,2431,2016-05-03,2025-12-31
"Dynamic HMM + Markowitz + Kelly, net",1.3973925304840087,0.09487403565970243,0.09895449175209106,0.12867587285502072,0.6135920433277278,0.7400798255486054,-0.1964541887705521,0.48293210877020387,2.3973925304840087,25.221557977646206,0.12165398302313082,2431,2016-05-03,2025-12-31
Rolling Markowitz,2.07247044810255,0.12339758472943196,0.13187420051162452,0.17564436128841063,0.636935906686611,0.7689801414482019,-0.36741420468573427,0.3358541481404602,3.07247044810255,23.601633097411668,0.11384041678533288,2431,2016-05-03,2025-12-31
Equal Weight,2.2057998101707805,0.12835535860546776,0.13572142941810572,0.17249486073797757,0.6708688532691325,0.8017989108795519,-0.3498134596884104,0.3669251569673672,3.2057998101707805,0.0,0.0,2431,2016-05-03,2025-12-31
SPY Buy & Hold,2.8489213659831467,0.14994443617424813,0.15609563996073106,0.18056179317627302,0.7537344283453589,0.901419802914951,-0.3371728241903855,0.4447109180115347,3.8489213659831467,0.0,0.0,2431,2016-05-03,2025-12-31
